Timestamp,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category
2025-07-20 13:09:15,Bengaluru,9.8,33.3,11.3,2.4,0.48,29.7,33,Good
2025-07-20 14:09:15,Bengaluru,26.5,52.3,17.0,7.5,0.61,28.2,52,Satisfactory
2025-07-20 15:09:15,Bengaluru,19.9,40.8,8.7,6.5,0.2,24.3,41,Good
2025-07-20 16:09:15,Bengaluru,19.4,29.2,8.5,3.7,0.52,28.3,32,Good
2025-07-20 17:09:15,Bengaluru,12.6,23.4,7.6,1.0,0.16,26.9,27,Good
2025-07-20 18:09:15,Bengaluru,7.7,21.4,6.9,3.9,0.11,25.3,25,Good
2025-07-20 19:09:15,Bengaluru,27.3,30.3,15.0,5.5,0.54,29.0,46,Good
2025-07-20 20:09:15,Bengaluru,25.3,47.8,9.5,8.3,0.71,28.6,48,Good
2025-07-20 21:09:15,Bengaluru,26.5,52.3,17.0,7.5,0.61,28.2,52,Satisfactory
2025-07-20 22:09:15,Bengaluru,21.1,37.8,13.5,3.0,0.31,25.5,38,Good
2025-07-20 23:09:15,Bengaluru,26.5,52.3,17.0,7.5,0.61,28.2,52,Satisfactory
2025-07-21 00:09:15,Bengaluru,14.4,25.2,9.1,1.0,0.16,35.0,35,Good
2025-07-21 01:09:15,Bengaluru,1.0,21.0,7.4,3.0,0.28,28.8,29,Good
2025-07-21 02:09:15,Bengaluru,18.7,8.7,1.0,2.2,0.1,32.4,32,Good
2025-07-21 03:09:15,Bengaluru,23.1,35.5,15.1,4.8,0.1,29.5,38,Good
2025-07-21 04:09:15,Bengaluru,16.6,29.0,7.0,1.6,0.41,28.3,29,Good
2025-07-21 05:09:15,Bengaluru,11.2,21.4,6.9,2.4,0.28,20.2,21,Good
2025-07-21 06:09:15,Bengaluru,16.4,41.0,13.4,4.1,0.36,29.9,41,Good
2025-07-21 07:09:15,Bengaluru,10.5,36.4,6.5,8.1,0.11,26.4,36,Good
2025-07-21 08:09:15,Bengaluru,12.3,25.1,13.4,3.0,0.44,23.0,25,Good
2025-07-21 09:09:15,Bengaluru,22.7,45.4,14.1,7.0,0.58,28.2,45,Good
2025-07-21 10:09:15,Bengaluru,21.5,26.4,9.4,3.9,0.26,30.4,36,Good
2025-07-21 11:09:15,Bengaluru,22.5,41.3,10.6,2.8,0.2,23.8,41,Good
2025-07-21 12:09:15,Bengaluru,15.6,22.7,8.9,4.0,0.4,23.2,26,Good
2025-07-21 13:09:15,Bengaluru,26.5,52.3,12.8,6.1,0.27,30.1,52,Satisfactory
2025-07-21 14:09:15,Bengaluru,28.7,20.8,12.8,2.9,0.32,23.7,48,Good
2025-07-21 15:09:15,Bengaluru,19.0,31.1,12.6,1.7,0.6,29.3,32,Good
2025-07-21 16:09:15,Bengaluru,8.7,33.0,13.0,4.9,0.3,28.8,33,Good
2025-07-21 17:09:15,Bengaluru,18.6,34.9,14.9,7.1,0.42,27.1,35,Good
2025-07-21 18:09:15,Bengaluru,22.2,39.6,16.4,8.8,0.53,24.8,40,Good
2025-07-21 19:09:15,Bengaluru,28.5,33.5,14.2,7.1,0.28,24.2,48,Good
2025-07-21 20:09:15,Bengaluru,19.7,39.5,14.5,3.7,0.49,23.6,40,Good
2025-07-21 21:09:15,Bengaluru,18.2,48.0,9.0,3.2,0.4,31.6,48,Good
2025-07-21 22:09:15,Bengaluru,1.0,20.2,9.2,3.3,0.42,32.3,32,Good
2025-07-21 23:09:15,Bengaluru,19.0,21.8,10.9,3.0,0.2,34.4,34,Good
2025-07-22 00:09:15,Bengaluru,15.0,40.9,9.3,5.4,0.35,27.3,41,Good
2025-07-22 01:09:15,Bengaluru,13.4,27.1,6.8,3.1,0.23,28.2,28,Good
2025-07-22 02:09:15,Bengaluru,11.9,18.8,5.7,1.0,0.11,29.2,29,Good
