Timestamp,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category
2025-07-20 11:52:44,Bengaluru,14.9,17.0,9.4,4.5,0.31,24.1,25,Good
2025-07-20 12:52:44,Bengaluru,,,,,,,33,Good
2025-07-20 13:52:44,Bengaluru,17.5,39.3,11.6,4.1,0.43,33.0,39,Good
2025-07-20 14:52:44,Bengaluru,4.3,32.0,7.7,4.7,0.49,31.5,32,Good
2025-07-20 15:52:44,Bengaluru,15.4,33.7,7.0,2.7,0.38,23.9,34,Good
2025-07-20 16:52:44,Bengaluru,18.0,21.4,7.3,2.2,0.53,30.5,30,Good
2025-07-20 17:52:44,Bengaluru,18.3,19.2,10.1,1.0,0.39,25.5,30,Good
2025-07-20 18:52:44,Bengaluru,20.6,36.9,8.1,8.2,0.29,19.3,37,Good
2025-07-20 19:52:44,Bengaluru,,,,,,,33,Good
2025-07-20 20:52:44,Bengaluru,12.2,27.0,10.6,4.5,0.53,28.9,29,Good
2025-07-20 21:52:44,Bengaluru,,,,,,,26,Good
2025-07-20 21:52:44,Bengaluru,,,,,,,26,Good
2025-07-20 22:52:44,Bengaluru,8.3,2.0,1.0,1.6,0.29,28.6,29,Good
2025-07-20 23:52:44,Bengaluru,13.5,27.5,14.2,2.4,0.27,27.1,28,Good
2025-07-21 00:52:44,Bengaluru,19.6,39.6,11.3,6.6,0.47,28.8,40,Good
2025-07-21 01:52:44,Bengaluru,3.5,18.1,8.0,1.0,0.1,30.6,31,Good
2025-07-21 02:52:44,Bengaluru,5.4,26.1,9.0,3.2,0.14,30.8,31,Good
2025-07-21 03:52:44,Bengaluru,16.9,17.1,12.4,3.7,0.19,33.5,34,Good
2025-07-21 04:52:44,Bengaluru,11.8,37.6,11.8,4.1,0.29,30.0,38,Good
2025-07-21 05:52:44,Bengaluru,16.9,38.6,5.3,5.0,0.41,26.1,39,Good
2025-07-21 06:52:44,Bengaluru,23.2,49.6,11.3,6.3,0.53,29.5,50,Good
2025-07-21 07:52:44,Bengaluru,20.8,35.8,2.5,5.4,0.12,25.0,36,Good
2025-07-21 08:52:44,Bengaluru,18.4,52.1,9.3,4.2,0.56,24.3,52,Satisfactory
2025-07-21 09:52:44,Bengaluru,20.5,35.7,12.3,5.7,0.31,34.0,36,Good
2025-07-21 10:52:44,Bengaluru,7.9,39.1,12.9,5.2,0.41,28.5,39,Good
2025-07-21 11:52:44,Bengaluru,1228.2891542952411,948.7934272020019,9.5,7.8,0.43,25.0,26,Good
2025-07-21 12:52:44,Bengaluru,9.4,26.9,15.2,5.6,0.1,25.9,27,Good
2025-07-21 13:52:44,Bengaluru,10.8,19.0,7.2,9.2,0.29,27.3,27,Good
2025-07-21 14:52:44,Bengaluru,13.8,25.4,7.8,3.5,0.13,27.9,28,Good
2025-07-21 15:52:44,Bengaluru,22.4,18.3,7.7,4.1,0.5,30.6,37,Good
2025-07-21 16:52:44,Bengaluru,16.0,29.7,10.5,10.3,0.54,25.6,30,Good
2025-07-21 17:52:44,Bengaluru,14.5,32.7,8.5,1.4,0.14,26.3,33,Good
2025-07-21 18:52:44,Bengaluru,22.5,51.7,18.9,8.1,0.61,24.8,52,Satisfactory
2025-07-21 19:52:44,Bengaluru,13.6,30.8,13.0,1.0,0.53,29.9,31,Good
2025-07-21 20:52:44,Bengaluru,16.6,28.4,15.0,6.4,0.31,30.3,30,Good
2025-07-21 21:52:44,Bengaluru,21.8,38.2,7.3,4.4,0.57,25.4,38,Good
2025-07-21 22:52:44,Bengaluru,6.7,16.6,1.5,3.6,0.55,35.5,36,Good
2025-07-21 23:52:44,Bengaluru,10.0,16.9,5.7,1.0,0.45,38.5,38,Good
2025-07-22 00:52:44,Bengaluru,4.1,12.9,8.4,7.6,0.24,36.2,36,Good
2025-07-22 01:52:44,Bengaluru,26.7,30.5,9.2,3.5,0.46,31.1,44,Good
2025-07-22 02:52:44,Bengaluru,9.8,11.1,10.8,1.8,0.19,20.3,20,Good
2025-07-22 03:52:44,Bengaluru,13.1,32.5,10.6,4.0,0.1,31.3,32,Good
2025-07-22 04:52:44,Bengaluru,20.2,23.3,11.2,6.7,0.3,23.6,34,Good
2025-07-22 05:52:44,Bengaluru,15.1,41.3,10.6,5.8,0.19,34.7,41,Good
2025-07-22 06:52:44,Bengaluru,24.3,31.0,11.6,3.5,0.22,27.8,40,Good
2025-07-22 07:52:44,Bengaluru,22.4,21.4,5.3,6.0,0.56,29.9,37,Good
2025-07-22 08:52:44,Bengaluru,24.7,39.0,13.2,8.7,0.25,18.1,41,Good
2025-07-22 09:52:44,Bengaluru,22.5,39.1,20.8,6.3,0.69,26.1,39,Good
2025-07-22 10:52:44,Bengaluru,7.1,13.8,9.8,5.2,0.29,22.4,22,Good
2025-07-22 11:52:44,Bengaluru,23.8,34.8,8.2,1.0,0.43,32.1,40,Good
2025-07-22 12:52:44,Bengaluru,18.9,34.9,20.5,5.4,0.47,29.9,35,Good
2025-07-22 13:52:44,Bengaluru,18.0,28.4,6.7,5.4,0.2,33.7,34,Good
2025-07-22 14:52:44,Bengaluru,15.0,39.9,12.2,3.8,0.46,29.0,40,Good
2025-07-22 15:52:44,Bengaluru,14.8,27.6,6.2,6.2,0.2,28.6,29,Good
2025-07-22 16:52:44,Bengaluru,25.1,20.2,10.1,6.4,0.6,23.7,42,Good
2025-07-22 17:52:44,Bengaluru,22.8,34.8,13.7,5.5,0.55,29.1,38,Good
2025-07-22 18:52:44,Bengaluru,16.9,31.6,10.6,5.6,0.28,29.3,32,Good
2025-07-22 19:52:44,Bengaluru,15.3,26.3,11.8,7.3,0.28,30.3,30,Good
2025-07-22 20:52:44,Bengaluru,24.3,40.0,10.4,7.4,0.34,25.6,40,Good
2025-07-22 21:52:44,Bengaluru,13.9,25.8,7.1,4.9,0.15,15.1,26,Good
2025-07-22 22:52:44,Bengaluru,14.8,6.2,5.7,4.4,0.34,25.9,26,Good
2025-07-22 23:52:44,Bengaluru,,,,,,,35,Good
2025-07-23 00:52:44,Bengaluru,13.0,19.2,6.7,1.0,0.24,27.1,27,Good
2025-07-23 01:52:44,Bengaluru,9.8,5.3,5.0,5.8,0.1,28.3,28,Good
2025-07-23 02:52:44,Bengaluru,9.8,32.9,9.2,4.5,0.27,23.6,33,Good
2025-07-23 03:52:44,Bengaluru,6.4,24.2,13.3,4.5,0.2,30.7,31,Good
2025-07-23 04:52:44,Bengaluru,12.0,18.5,4.4,2.0,0.33,31.8,32,Good
2025-07-23 05:52:44,Bengaluru,13.9,13.1,5.3,6.9,0.22,21.1,23,Good
2025-07-23 06:52:44,Bengaluru,11.0,21.7,6.8,5.8,0.68,34.6,35,Good
2025-07-23 07:52:44,Bengaluru,15.1,31.0,8.6,1.0,0.41,31.1,31,Good
2025-07-23 08:52:44,Bengaluru,16.7,44.7,11.5,7.2,0.3,32.5,45,Good
2025-07-23 09:52:44,Bengaluru,24.9,37.6,14.6,5.5,0.31,28.3,42,Good
2025-07-23 10:52:44,Bengaluru,13.3,24.2,13.9,4.5,0.25,23.1,24,Good
2025-07-23 11:52:44,Bengaluru,12.5,24.7,5.1,6.1,0.39,28.3,28,Good
2025-07-23 12:52:44,Bengaluru,15.4,30.1,11.6,4.3,0.36,32.0,32,Good
2025-07-23 13:52:44,Bengaluru,10.2,24.1,7.7,5.3,0.45,23.9,24,Good
2025-07-23 14:52:44,Bengaluru,8.1,17.7,10.2,3.7,0.1,28.8,29,Good
2025-07-23 15:52:44,Bengaluru,,,,,,,28,Good
2025-07-23 16:52:44,Bengaluru,19.5,49.1,12.2,9.3,0.41,34.3,49,Good
2025-07-23 17:52:44,Bengaluru,21.2,30.9,7.2,12.3,0.33,25.1,35,Good
2025-07-23 18:52:44,Bengaluru,19.4,47.9,15.6,9.9,0.52,33.5,48,Good
2025-07-23 19:52:44,Bengaluru,25.5,33.5,14.1,8.4,0.47,25.7,42,Good
2025-07-23 20:52:44,Bengaluru,11.5,28.3,10.9,4.5,0.2,22.3,28,Good
2025-07-23 21:52:44,Bengaluru,11.6,35.6,6.6,3.0,0.94,25.5,47,Good
2025-07-23 22:52:44,Bengaluru,10.3,40.6,9.7,2.5,0.49,25.3,41,Good
2025-07-23 23:52:44,Bengaluru,9.6,31.8,3.3,3.9,0.43,22.2,32,Good
2025-07-24 00:52:44,Bengaluru,3.7,10.1,4.6,2.8,0.13,23.9,24,Good
2025-07-24 01:52:44,Bengaluru,10.7,41.6,10.2,3.6,0.42,30.3,42,Good
2025-07-24 02:52:44,Bengaluru,16.4,38.5,9.2,7.3,0.43,34.1,38,Good
2025-07-24 03:52:44,Bengaluru,11.2,15.0,5.6,2.4,0.1,25.6,26,Good
2025-07-24 04:52:44,Bengaluru,10.0,38.4,7.4,5.6,0.45,30.7,38,Good
2025-07-24 05:52:44,Bengaluru,,,,,,,29,Good
2025-07-24 06:52:44,Bengaluru,15.2,45.2,14.6,7.0,0.16,33.9,45,Good
2025-07-24 07:52:44,Bengaluru,9.6,33.3,10.1,5.7,0.38,29.7,33,Good
2025-07-24 08:52:44,Bengaluru,29.7,39.3,7.1,7.2,0.41,24.9,50,Good
2025-07-24 09:52:44,Bengaluru,21.1,16.0,6.2,6.4,0.51,31.2,35,Good
2025-07-24 10:52:44,Bengaluru,19.2,41.1,10.5,6.6,0.59,28.9,41,Good
2025-07-24 11:52:44,Bengaluru,12.5,43.0,10.3,5.7,0.49,20.8,43,Good
2025-07-24 12:52:44,Bengaluru,4.8,58.4,8.0,5.0,0.47,28.7,58,Satisfactory
2025-07-24 13:52:44,Bengaluru,15.7,16.2,10.2,5.5,0.32,29.6,30,Good
2025-07-24 14:52:44,Bengaluru,17.9,35.1,9.3,3.4,0.51,29.3,35,Good
2025-07-24 15:52:44,Bengaluru,17.7,29.2,7.4,4.9,0.68,23.6,34,Good
2025-07-24 16:52:44,Bengaluru,19.6,33.4,12.3,7.9,0.38,29.5,33,Good
2025-07-24 17:52:44,Bengaluru,19.8,46.8,12.8,3.1,0.3,25.4,47,Good
2025-07-24 18:52:44,Bengaluru,20.1,10.6,13.2,3.2,0.4,26.2,34,Good
2025-07-24 19:52:44,Bengaluru,11.1,40.8,12.9,7.6,0.72,25.3,41,Good
2025-07-24 20:52:44,Bengaluru,16.1,34.8,11.3,5.1,0.4,30.4,35,Good
2025-07-24 21:52:44,Bengaluru,17.3,25.5,13.1,2.5,0.5,26.0,29,Good
2025-07-24 22:52:44,Bengaluru,21.4,30.0,10.1,1.0,0.4,33.0,36,Good
2025-07-24 23:52:44,Bengaluru,13.9,18.9,5.5,3.4,0.48,22.7,24,Good
2025-07-25 00:52:44,Bengaluru,15.3,15.1,8.9,4.8,0.25,23.6,26,Good
